MODEL,ParamName,MIN,MAX,LogTransform,VALUE,OPT
Kosugi,θs,0.3,0.6,0,0.6,0
Kosugi,θr,0,0.2,0,0.20,1
Kosugi,Ks,5.6E-5,0.0834,1,0.08,1
Kosugi,Ψm,100,100000000000000,1,7200000000,1
Kosugi,σ,0.75,4,0,4,1
Kosugi,θsMacMat_ƞ,0.75,1,0,1,1
Kosugi,σMac,0.2,2,0,0.76752836433,0
Kosugi,ΨmMac,1,100,0,10,0
Vangenuchten,θs,0.3,0.6,0,0.6,1
Vangenuchten,θr,0,0.2,0,0.2,1
Vangenuchten,Ks,1E-08,1,1,0.08,1
Vangenuchten,N,1.000001,5,0,1,1
Vangenuchten,Ψvg,10,500000,1,7200000000,1
Vangenuchten,Km,1,2,0,1,0
BrooksCorey,θs,0.3,0.6,0,0.6,1
BrooksCorey,θr,0,0.2,0,0,1
BrooksCorey,Ks,1E-08,1,1,1,1
BrooksCorey,λbc,0.087719298,0.709219858,0,1,1
BrooksCorey,Ψbc,90,856,1,1,1
ClappHornberger,θs,0.3,0.6,0,0.6,1
ClappHornberger,θr,0,0.2,0,0,0
ClappHornberger,Ks,1E-08,1,1,1,1
ClappHornberger,λch,0.087719298,0.709219858,0,1,1
ClappHornberger,Ψch,90,856,1,1,1
VangenuchtenJules,θs,0.3,0.6,0,0.6,1
VangenuchtenJules,θr,0,0.2,0,0.2,1
VangenuchtenJules,Ks,1E-08,1,1,0.08,1
VangenuchtenJules,N,1.000001,5,0,1,1
VangenuchtenJules,Ψvg,10,500000,1,7200000000,1
VangenuchtenJules,Km,1,2,0,1,0