MODEL,ParamName,MIN,MAX,VALUE,OPT
KsModel_New,τ₁Max_1,0.5,0.9999,0.9935709995138442,0
KsModel_New,τ₁ηMin_1,0.0,1.0,0.5351271543830499,0
KsModel_New,τ₂_1,0.01,0.99,0.034796241555478745,0
KsModel_New,τ₃_1,0.01,0.99,0.7156871668059309,0
KsModel_New,τ₄_1,0.0,1.0,0.8207748645956596,0
KsModel_New,τ₅_1,0.01,1.0,0.5,0
KsModel_New,τ₁Mac_1,0.0,1,0.0011558948447215976,0
KsModel_New,τ₂Mac_1,0.01,1.0,0.6115863971553264,0
KsModel_New,τ₃Mac_1,0.01,0.99,0.8519784750829286,0
KsModel_New,τ₁Max_2,0.01,0.9999," 0.7988241082291542",0
KsModel_New,τ₁ηMin_2,0.0,1.0,0.5403451568241692,0
KsModel_New,τ₂_2,0.01,0.99,0.010126283657793554,0
KsModel_New,τ₃_2,0.01,0.99,0.6356883513317179,0
KsModel_New,τ₄_2,0.0,1.0," 0.17149102573705305",0
KsModel_New,τ₅_2,0.01,1.0,0.5,0
KsModel_New,τ₁Mac_2,0.5,0.99,0.50791239493432,0
KsModel_New,τ₂Mac_2,0.0,1.0,0.6115863971553264,0
KsModel_New,τ₃Mac_2,0.01,0.99,0.8432138849728765,0
KsModel_New2,τ₁Max_1,0.01,0.99,0.50791239493432,0
KsModel_New2,τ₁ηMin_1,0.0,1.0,1,0
KsModel_New2,τ₂_1,0.01,1.0,0.5,0
KsModel_New2,τ₃_1,0.0,0.9999,0.5,0
KsModel_New2,τ₄_1,1.0,4,0.5,0
KsModel_New2,τ₅_1,0,0.384615,0.5,0
KsModel_New2,τ₁Mac_1,0.01,0.99,1.0,0
KsModel_New2,τ₂Mac_1,0.0,1.0,0.6115863971553264,0
KsModel_New2,τ₃Mac_1,0.01,0.99,0.5,0
KsModel_New2,τ₁Max_2,0.01,0.99,5.007,0
KsModel_New2,τ₁ηMin_2,0.0,1.0,1,0
KsModel_New2,τ₂_2,0.01,1.0,0.5,0
KsModel_New2,τ₃_2,0.01,0.99,0.5,0
KsModel_New2,τ₄_2,1.0,4,0.5,0
KsModel_New2,τ₅_2,0.384615,1,0.5,0
KsModel_New2,τ₁Mac_2,0.01,0.9999,1.0,0
KsModel_New2,τ₂Mac_2,0.01,1.0,0.6115863971553264,0
KsModel_New2,τ₃Mac_2,0.01,0.99,0.5,0